PO,Tag,Size,Quantity,Scratch_Location,Scratch_Type,Glass_Type,Rack_Type,Vendor,Date,Note,ImageData
33537,161406,30.3125 x 71.4375,1,Unknown,Scratched,i89/IS20/SUNGUARD,A-frame,Cardinal CG,2025-07-11,,
33158,159527,24.3125 x 85.4375,1,Unknown,Scratched,i89/IS20/SUNGUARD,A-frame,Cardinal CG,2025-07-11,,
33342,160476,29.6825 x 70.6825,1,Unknown,Scratched,LOWE 272,A-frame,Cardinal CG,2025-07-11,,
33342,160476,29.6825 x 70.6825,1,Unknown,Scratched,CLEAR,A-frame,Cardinal CG,2025-07-11,,
33410,160494,29.8125 x 71.4375,1,Unknown,Scratched,LOWE 272,A-frame,Cardinal CG,2025-07-11,,
33158,159527,24.3125 x 85.4375,1,Unknown,Scratched,i89/IS20/SUNGUARD,A-frame,Cardinal CG,2025-07-11,,
33622,161728,23.813 x 69.438,1,Top Center,Scratched,i89/IS20/SUNGUARD,A-frame,Cardinal CG,2025-07-14,,
33484,160744,40.5 x 69.4375,1,Unknown,Production Issue,CLEAR,A-frame,Cardinal CG,2025-07-11,,
33484,160744,40.5 x 69.4375,1,Unknown,Production Issue,LOWE 272,A-frame,Cardinal CG,2025-07-11,,
33582,161503,27.5 x 70.9375,1,Unknown,Production Issue,CLEAR,A-frame,Cardinal CG,2025-07-11,,
33582,161503,27.5 x 70.9375,1,Unknown,Production Issue,LOWE 272,A-frame,Cardinal CG,2025-07-11,,
-,159659-1,8 3/4 x 79 1/2,1,Center,Stain Mark,CLEAR,Other,Cardinal CG,2025-07-18,Sealed IG Unit,
